"","n.VR","t.VR","n.SQ","t.SQ"
"3.45387763949107",2.56494935746154,-3.92713664321914,2.04122032885964,-4.80362112473003
"3.83764182165674",2.87919845729804,-3.0037644452529,2.09186406167839,-4.04555439804643
"4.22140600382242",3.11794990627824,-2.13707065451777,2.11625551480255,-3.34104345883908
"4.60517018598809",3.40452517175483,-1.28013416529126,2.39789527279837,-2.5876040480258
"4.98893436815377",3.64021428213266,-0.404066087194536,2.35137525716348,-1.88190301908033
"5.37269855031944",3.87328217711172,0.400787518556707,2.57261223020711,-1.13693740299074
"5.75646273248511",4.15261347034608,1.25897222254451,2.76631910922619,-0.454287772805421
"6.14022691465079",4.38202663467388,2.08220023298943,2.68784749378469,0.221301856434463
"6.52399109681646",4.5685062016165,2.90782413095386,2.80336038090653,0.929088490104092
"6.90775527898214",4.75013595623828,3.7300165989691,2.87356463957978,1.612513178951
